season,team,player_id,player_name,spine_metric,games,spine_opps,team_spine_opps,spine_opps_stress,team_spine_opps_stress,spine_opps_calm,team_spine_opps_calm,share_overall,share_stress,share_calm,confidence_delta
2026,HOU,00-0039163,C.Stroud,rush_attempts_qb,1,1,31,1,13,0,18,0.0323,0.0769,0.0,0.0769
2026,CIN,00-0036900,J.Chase,targets,2,13,65,4,25,9,40,0.2,0.16,0.225,-0.065
2026,ATL,00-0036463,C.Blair,targets,1,3,31,1,11,2,20,0.0968,0.0909,0.1,-0.0091
2026,ATL,00-0036429,C.Woerner,targets,1,1,31,0,11,1,20,0.0323,0.0,0.05,-0.05
2026,CIN,00-0041069,C.Young,targets,1,1,31,0,11,1,20,0.0323,0.0,0.05,-0.05
2026,LA,00-0036849,T.Atwell,targets,1,2,30,0,10,2,20,0.0667,0.0,0.1,-0.1
2026,ATL,00-0041044,Z.Branch,targets,1,2,31,0,11,2,20,0.0645,0.0,0.1,-0.1
2026,HOU,00-0041472,M.Klein,targets,1,1,37,0,18,1,19,0.027,0.0,0.0526,-0.0526
2026,HOU,00-0036554,N.Collins,targets,1,10,37,5,18,5,19,0.2703,0.2778,0.2632,0.0146
2026,ATL,00-0037746,Br.Robinson,rush_attempts,2,20,59,2,9,18,50,0.339,0.2222,0.36,-0.1378
2026,BUF,00-0039471,F.Gore,rush_attempts,1,1,20,0,8,1,12,0.05,0.0,0.0833,-0.0833
2026,CLE,00-0041037,D.Boston,targets,2,11,52,5,15,6,37,0.2115,0.3333,0.1622,0.1712
2026,NYG,00-0039384,T.Tracy,rush_attempts,1,2,35,0,18,2,17,0.0571,0.0,0.1176,-0.1176
2026,DEN,00-0039732,B.Nix,rush_attempts_qb,2,7,42,4,17,3,25,0.1667,0.2353,0.12,0.1153
2026,KC,00-0041013,E.Johnson,rush_attempts,2,10,61,3,28,7,33,0.1639,0.1071,0.2121,-0.105
2026,TEN,00-0040584,G.Helm,targets,2,7,45,4,21,3,24,0.1556,0.1905,0.125,0.0655
2026,WAS,00-0041096,K.Allen,rush_attempts,2,9,54,4,20,5,34,0.1667,0.2,0.1471,0.0529
2026,HOU,00-0034981,F.Moreau,targets,2,4,87,0,37,4,50,0.046,0.0,0.08,-0.08
2026,TB,00-0034855,B.Mayfield,rush_attempts_qb,2,2,38,1,11,1,27,0.0526,0.0909,0.037,0.0539
2026,BUF,00-0034827,D.Moore,targets,2,8,57,3,27,5,30,0.1404,0.1111,0.1667,-0.0556
2026,NYJ,00-0039451,I.Williams,targets,2,7,59,3,25,4,34,0.1186,0.12,0.1176,0.0024
2026,IND,00-0036223,J.Taylor,rush_attempts,2,43,49,17,19,26,30,0.8776,0.8947,0.8667,0.0281
2026,JAX,00-0034960,J.Meyers,targets,2,3,49,1,16,2,33,0.0612,0.0625,0.0606,0.0019
2026,CHI,00-0039918,C.Williams,rush_attempts_qb,2,5,60,4,21,1,39,0.0833,0.1905,0.0256,0.1648
2026,NO,00-0041067,B.Lance,targets,2,6,85,3,40,3,45,0.0706,0.075,0.0667,0.0083
2026,TEN,00-0034837,C.Ridley,targets,1,2,17,0,10,2,7,0.1176,0.0,0.2857,-0.2857
2026,ATL,00-0035208,O.Zaccheaus,targets,2,4,50,1,17,3,33,0.08,0.0588,0.0909,-0.0321
2026,BUF,00-0034857,J.Allen,rush_attempts_qb,2,14,51,10,22,4,29,0.2745,0.4545,0.1379,0.3166
2026,CLE,00-0040784,Q.Judkins,rush_attempts,2,24,39,7,15,17,24,0.6154,0.4667,0.7083,-0.2417
2026,NYG,00-0040691,J.Dart,rush_attempts_qb,1,9,35,6,18,3,17,0.2571,0.3333,0.1765,0.1569
2026,DEN,00-0040730,R.Harvey,rush_attempts,1,3,14,1,1,2,13,0.2143,1.0,0.1538,0.8462
2026,KC,00-0038104,T.Thornton,targets,2,5,68,4,32,1,36,0.0735,0.125,0.0278,0.0972
2026,TEN,00-0038115,D.Bellinger,targets,2,2,45,1,21,1,24,0.0444,0.0476,0.0417,0.006
2026,WAS,00-0039910,J.Daniels,rush_attempts_qb,2,3,54,3,20,0,34,0.0556,0.15,0.0,0.15
2026,HOU,00-0040583,W.Marks,rush_attempts,2,17,46,6,17,11,29,0.3696,0.3529,0.3793,-0.0264
2026,TB,00-0033921,C.Godwin,targets,2,7,60,3,27,4,33,0.1167,0.1111,0.1212,-0.0101
2026,NYJ,00-0037805,J.Ruckert,targets,2,3,59,1,25,2,34,0.0508,0.04,0.0588,-0.0188
