season,week,game_id,team,player_id,player_name,position,spine_metric,spine_opportunities,spine_opps_stress,spine_opps_calm,team_spine_opportunities,team_spine_opps_stress,team_spine_opps_calm,targets,rushes,team_qb_designed_runs,team_qb_runs_inside_5,team_qb_runs_stress
2026,2,2026_02_WAS_DAL,DAL,00-0036997,J.Williams,RB,rush_attempts,12,5,7,18,8,10,4,12,1,0,1
2026,1,2026_01_BAL_IND,BAL,00-0036550,R.Bateman,WR,targets,1,0,1,24,9,15,1,0,4,1,2
2026,1,2026_01_BUF_HOU,HOU,00-0035685,D.Montgomery,RB,rush_attempts,20,9,11,31,13,18,3,20,1,0,1
2026,1,2026_01_CHI_CAR,CAR,00-0037005,T.Tremble,TE,targets,5,2,3,34,11,23,5,0,0,0,0
2026,1,2026_01_DAL_NYG,DAL,00-0037801,K.Turpin,WR,targets,1,0,1,30,11,19,1,0,0,0,0
2026,1,2026_01_MIA_LV,LV,00-0040894,M.Benson,WR,targets,2,0,2,29,13,16,2,1,4,0,2
2026,1,2026_01_NE_SEA,NE,00-0041395,E.Raridon,TE,targets,1,1,0,31,17,14,1,0,1,0,1
2026,1,2026_01_NO_DET,NO,00-0039424,D.Vele,WR,targets,9,3,6,53,25,28,9,0,2,0,1
2026,1,2026_01_SF_LA,LA,00-0039074,D.Allen,TE,targets,1,1,0,27,12,15,1,0,2,1,1
2026,1,2026_01_TB_CIN,CIN,00-0038597,C.Brown,RB,rush_attempts,16,10,6,26,16,10,6,16,4,0,4
2026,2,2026_02_CAR_ATL,CAR,00-0039491,J.Coker,WR,targets,9,5,4,32,17,15,9,0,1,0,0
2026,2,2026_02_CAR_ATL,ATL,00-0036970,K.Pitts,TE,targets,3,1,2,31,11,20,3,0,0,0,0
2026,2,2026_02_MIA_SF,SF,00-0033280,C.McCaffrey,RB,rush_attempts,10,4,6,24,8,16,4,10,2,0,0
2026,2,2026_02_NYG_LA,LA,00-0037840,K.Williams,RB,rush_attempts,12,3,9,27,7,20,2,12,3,0,2
2026,2,2026_02_PHI_TEN,PHI,00-0038393,D.Wicks,WR,targets,6,6,0,34,19,15,6,0,3,0,3
2026,1,2026_01_BAL_IND,BAL,00-0032764,D.Henry,RB,rush_attempts,24,6,18,34,11,23,1,24,4,1,2
2026,1,2026_01_BUF_HOU,HOU,00-0041472,M.Klein,TE,targets,1,0,1,37,18,19,1,0,1,0,1
2026,1,2026_01_DAL_NYG,DAL,00-0036358,C.Lamb,WR,targets,8,4,4,30,11,19,8,1,0,0,0
2026,1,2026_01_SF_LA,LA,00-0031381,D.Adams,WR,targets,6,2,4,27,12,15,6,0,2,1,1
2026,2,2026_02_PHI_TEN,PHI,00-0038555,T.Bigsby,RB,rush_attempts,13,2,11,30,10,20,2,13,3,0,3
2026,1,2026_01_BUF_HOU,HOU,00-0036554,N.Collins,WR,targets,10,5,5,37,18,19,10,1,1,0,1
2026,1,2026_01_SF_LA,LA,00-0039075,P.Nacua,WR,targets,9,5,4,27,12,15,9,0,2,1,1
