season,scorer_player_id,scorer_player_name,team,total_tds,games_with_td,rushing_tds,receiving_tds,red_zone_tds
2026,00-0039064,Z.Flowers,BAL,1,1,0,1,0
2026,00-0038551,K.Miller,NO,1,1,1,0,1
2026,00-0040729,J.Bech,LV,1,1,0,1,1
2026,00-0033293,A.Jones,MIN,1,1,1,0,1
2026,00-0033873,P.Mahomes,KC,1,1,1,0,1
2026,00-0038935,B.Strange,JAX,1,1,0,1,1
2026,00-0041100,J.Cameron,JAX,1,1,0,1,1
2026,00-0040236,K.Monangai,CHI,1,1,1,0,0
2026,00-0040277,J.Walker,CHI,1,1,0,1,1
2026,00-0034960,J.Meyers,JAX,1,1,0,1,0
2026,00-0040715,C.Skattebo,NYG,1,1,1,0,1
2026,00-0038606,P.Washington,JAX,1,1,0,1,0
2026,00-0039150,B.Young,CAR,1,1,1,0,1
2026,00-0036290,C.Kmet,CHI,1,1,0,1,0
2026,00-0035250,D.Singletary,NYG,1,1,0,1,1
2026,00-0033881,E.Engram,DEN,1,1,0,1,1
2026,00-0039067,R.Rice,KC,1,1,0,1,1
2026,00-0035229,T.Hockenson,MIN,1,1,0,1,1
2026,00-0037525,J.Mason,MIN,1,1,1,0,1
2026,00-0038128,M.Willis,MIA,1,1,1,0,1
2026,00-0041395,E.Raridon,NE,1,1,0,1,1
2026,00-0036554,N.Collins,HOU,1,1,0,1,1
2026,00-0034827,D.Moore,BUF,1,1,0,1,0
2026,00-0039424,D.Vele,NO,1,1,0,1,1
2026,00-0040170,E.Ayomanor,TEN,1,1,0,1,1
2026,00-0035719,D.Samuel,SF,1,1,0,1,1
2026,00-0040738,D.Knight,CIN,1,1,0,0,0
2026,00-0039361,B.Irving,TB,1,1,1,0,1
2026,00-0041502,J.Trotter,TB,1,1,0,0,0
2026,00-0040242,J.Croskey-Merritt,WAS,1,1,1,0,1
2026,00-0041040,A.Williams,WAS,1,1,0,1,1
2026,00-0040129,E.Egbuka,TB,1,1,0,1,1
2026,00-0039065,S.LaPorta,DET,1,1,0,1,1
2026,00-0037248,J.Cook,BUF,1,1,1,0,1
2026,00-0039894,X.Worthy,KC,1,1,0,1,1
2026,00-0040646,J.Royals,KC,1,1,0,1,1
2026,00-0040719,B.Tuten,JAX,1,1,1,0,1
2026,00-0038783,N.Adkins,DEN,1,1,0,1,1
2026,00-0040189,O.Gadsden,LAC,1,1,0,1,1
2026,00-0033288,G.Kittle,SF,1,1,0,1,1
2026,00-0038824,R.Miller,MIA,1,1,0,1,0
2026,00-0040743,T.Shough,NO,1,1,1,0,1
2026,00-0038542,Bi.Robinson,ATL,1,1,0,1,0
2026,00-0038555,T.Bigsby,PHI,1,1,1,0,1
2026,00-0036912,D.Smith,PHI,1,1,0,1,0
2026,00-0040024,D.Cooper,PHI,1,1,0,1,1
2026,00-0040574,E.Ponder,NE,1,1,0,0,0
2026,00-0032775,D.Robinson,SF,1,1,0,1,0
