season,team,player_id,player_name,opportunity_type,team_opp_i20,team_opp_i10,team_opp_i5,opp_i20,yds_i20,td_i20,pct_i20_intra,pct_i20_shrunk,opp_i10,yds_i10,td_i10,pct_i10_intra,pct_i10_shrunk,opp_i5,yds_i5,td_i5,pct_i5_intra,pct_i5_shrunk,opp_g2g,td_g2g,pct_g2g_shrunk
2026,CHI,00-0039918,C.Williams,rush,25,14,6,4,13,1,0.16,0.1379,3,15,1,0.2143,0.1667,1,0,0,0.1667,0.1,2,0,0.1667
2026,CAR,00-0039150,B.Young,rush,30,18,7,3,16,1,0.1,0.0882,1,7,1,0.0556,0.0455,0,0,0,0.0,0.0,2,1,0.1
2026,NYG,00-0040691,J.Dart,rush,17,7,4,1,-2,0,0.0588,0.0476,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,DEN,00-0039732,B.Nix,rush,17,9,4,4,0,0,0.2353,0.1905,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,0,0.0667
2026,MIN,00-0037525,J.Mason,rush,15,5,3,4,4,1,0.2667,0.2105,2,1,1,0.4,0.2222,1,1,1,0.3333,0.1429,1,1,0.1667
2026,GB,00-0036264,J.Love,rush,18,9,2,1,0,0,0.0556,0.0455,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,MIA,00-0039874,J.Wright,rush,14,4,1,2,11,0,0.1429,0.1111,1,3,0,0.25,0.125,0,0,0,0.0,0.0,0,0,0.0
2026,NO,00-0038551,K.Miller,rush,22,12,5,2,7,1,0.0909,0.0769,2,7,1,0.1667,0.125,0,0,0,0.0,0.0,2,1,0.1429
2026,DET,00-0033106,J.Goff,rush,27,12,9,1,4,0,0.037,0.0323,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,CIN,00-0036442,J.Burrow,rush,18,6,6,4,18,0,0.2222,0.1818,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0
2026,TB,00-0034855,B.Mayfield,rush,20,4,1,5,37,1,0.25,0.2083,1,9,1,0.25,0.125,0,0,0,0.0,0.0,1,1,0.125
2026,PHI,00-0036389,J.Hurts,rush,16,5,2,1,-1,0,0.0625,0.05,1,-1,0,0.2,0.1111,0,0,0,0.0,0.0,1,0,0.1
2026,WAS,00-0039910,J.Daniels,rush,24,13,8,4,3,0,0.1667,0.1429,1,0,0,0.0769,0.0588,0,0,0,0.0,0.0,0,0,0.0
2026,WAS,00-0041096,K.Allen,rush,24,13,8,3,11,0,0.125,0.1071,1,3,0,0.0769,0.0588,1,3,0,0.125,0.0833,1,0,0.0909
2026,ARI,00-0037744,T.McBride,target,18,9,4,6,5,2,0.3333,0.2727,4,5,2,0.4444,0.3077,2,5,2,0.5,0.25,3,2,0.25
2026,LAC,00-0040189,O.Gadsden,target,14,9,2,1,10,1,0.0714,0.0556,1,10,1,0.1111,0.0769,0,0,0,0.0,0.0,1,1,0.1
