season,week,game_type,game_id,pfr_game_id,pfr_player_id,pfr_player_name,team,opponent,rushing_broken_tackles,receiving_broken_tackles,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,ingest_run_id
2026,1,REG,2026_01_ARI_LAC,202609130sdg,HarrTr03,Tre Harris,LAC,ARI,,0,0,0.0,0,57.6,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,202609130sdg,JohnQu02,Quentin Johnston,LAC,ARI,,0,0,0.0,0,42.4,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,202609130sdg,McBrTr01,Trey McBride,ARI,LAC,,2,1,0.077,0,115.9,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,202609130sdg,BourKe00,Kendrick Bourne,ARI,LAC,,0,0,0.0,0,105.7,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,202609130sdg,AllgTy00,Tyler Allgeier,ARI,LAC,,0,0,0.0,0,85.4,20260925T013701Z
2026,1,REG,2026_01_ARI_LAC,202609130sdg,HarrMa09,Marvin Harrison Jr.,ARI,LAC,,0,1,0.333,0,75.7,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,202609130rai,MayeMi00,Michael Mayer,LV,MIA,,1,0,0.0,0,85.7,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,202609130rai,BechJa00,Jack Bech,LV,MIA,,1,0,0.0,1,88.5,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,202609130rai,TuckTr00,Tre Tucker,LV,MIA,,0,0,0.0,0,71.9,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,202609130rai,BensMa00,Malik Benson,LV,MIA,,0,0,0.0,0,56.2,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,202609130rai,WhitCo05,Cody White,LV,MIA,,0,0,0.0,0,39.6,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,202609130rai,DougCa00,Caleb Douglas,MIA,LV,,1,0,0.0,1,74.1,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,202609130rai,AchaDe00,De'Von Achane,MIA,LV,,1,0,0.0,0,91.7,20260925T013701Z
2026,1,REG,2026_01_MIA_LV,202609130rai,KacmWi00,Will Kacmarek,MIA,LV,,0,0,0.0,0,39.6,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,202609130min,DallDe00,DeeJay Dallas,MIN,GB,,0,0,0.0,0,79.2,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,202609130min,JennJa00,Jauan Jennings,MIN,GB,,0,0,0.0,1,0.0,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,202609130min,JoneAa00,Aaron Jones,MIN,GB,,0,1,1.0,0,39.6,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,202609130min,WatsCh00,Christian Watson,GB,MIN,,0,0,0.0,1,116.7,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,202609130min,KrafTu00,Tucker Kraft,GB,MIN,,0,0,0.0,0,88.9,20260925T013701Z
2026,1,REG,2026_01_GB_MIN,202609130min,ReedJa03,Jayden Reed,GB,MIN,,0,0,0.0,0,50.3,20260925T013701Z
