season,week,season_type,game_id,player_id,team,opponent_team,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,racr,target_share,air_yards_share,wopr,ingest_run_id
2026,2,REG,2026_02_NO_BAL,00-0039792,BAL,NO,1,2,47,0,0,0,60,1.0,1,2.93449549120851,0,1,1,1,1,0.783333333333333,0.0689655172413793,0.186915887850467,0.234289397357396,20260925T013701Z
2026,2,REG,2026_02_SEA_ARI,00-0039793,SEA,ARI,1,1,8,0,0,0,8,0.0,0,0.530166474170983,0,0,0,0,0,1.0,0.0384615384615385,0.0352422907488987,0.0823619112165368,20260925T013701Z
2026,2,REG,2026_02_GB_NYJ,00-0039794,NYJ,GB,1,1,8,0,0,0,3,5.0,0,1.04064964322606,0,0,0,0,0,2.66666666666667,0.0277777777777778,0.0119521912350598,0.0500332005312085,20260925T013701Z
2026,2,REG,2026_02_SEA_ARI,00-0039795,SEA,ARI,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_NO_BAL,00-0039796,BAL,NO,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_GB_NYJ,00-0039798,NYJ,GB,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_SEA_ARI,00-0039807,ARI,SEA,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_JAX_DEN,00-0039809,DEN,JAX,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_GB_NYJ,00-0039811,GB,NYJ,2,2,6,1,0,0,-4,10.0,1,1.4928581250133,0,0,0,0,0,-1.5,0.0689655172413793,-0.0185185185185185,0.090485312899106,20260925T013701Z
2026,2,REG,2026_02_GB_NYJ,00-0039812,GB,NYJ,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_GB_NYJ,00-0039813,GB,NYJ,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_CIN_HOU,00-0039814,CIN,HOU,2,3,5,0,0,0,-1,5.0,0,-0.967733216355555,0,0,0,0,0,0.0,0.0967741935483871,-0.00578034682080925,0.141115047548014,20260925T013701Z
2026,2,REG,2026_02_IND_KC,00-0039816,IND,KC,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_GB_NYJ,00-0039817,GB,NYJ,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_NYG_LA,00-0039821,NYG,LA,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_IND_KC,00-0039825,KC,IND,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_PHI_TEN,00-0039826,PHI,TEN,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_PIT_NE,00-0039829,NE,PIT,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_GB_NYJ,00-0039831,GB,NYJ,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_LV_LAC,00-0039835,LAC,LV,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_MIN_CHI,00-0039840,CHI,MIN,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_PHI_TEN,00-0039841,PHI,TEN,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_CAR_ATL,00-0039842,ATL,CAR,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_IND_KC,00-0039844,KC,IND,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_CLE_TB,00-0039846,TB,CLE,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_NYG_LA,00-0039847,NYG,LA,0,4,0,0,0,0,55,0.0,0,-3.41785472305492,0,0,0,0,0,0.0,0.125,0.161290322580645,0.300403225806452,20260925T013701Z
2026,2,REG,2026_02_SEA_ARI,00-0039849,ARI,SEA,0,1,0,0,0,0,3,0.0,0,-0.2550798021839,0,0,0,0,0,0.0,0.0384615384615385,0.0275229357798165,0.0769583627381793,20260925T013701Z
2026,2,REG,2026_02_GB_NYJ,00-0039850,GB,NYJ,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_PIT_NE,00-0039851,NE,PIT,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
2026,2,REG,2026_02_CLE_TB,00-0039852,CLE,TB,0,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,,0.0,0.0,0.0,20260925T013701Z
