season,team,player_id,player_name,position,games,spine_metric,spine_opps,team_spine_opps,share_overall,spine_opps_stress,team_spine_opps_stress,share_stress,spine_opps_calm,team_spine_opps_calm,share_calm,confidence_delta,depth_pos,depth_rank,depth_as_of_week,opp_i20,opp_i10,opp_i5,opp_g2g,td_i20,td_i5,team_opp_i20,pct_i20_intra,pct_i20_shrunk,pct_i10_shrunk,pct_i5_shrunk,pct_g2g_shrunk,touches,scrimmage_yards,yards_per_touch,scrimmage_yards_share_intra,scrimmage_tds,usage_rank_on_team,usage_rank_in_pos_group
2026,ARI,00-0037744,T.McBride,TE,2,targets,23,63,0.3651,12,25,0.48,11,38,0.2895,0.1905,TE,1,18,6,4,2,3,2,2,18,0.3333,0.2727,0.3077,0.25,0.25,17,136,8.0,0.2437,2,1,1
2026,CIN,00-0038597,C.Brown,RB,2,rush_attempts,36,49,0.7347,14,20,0.7,22,29,0.7586,-0.0586,RB,1,18,7,3,3,2,1,1,18,0.3889,0.3182,0.3,0.3,0.25,44,160,3.64,0.2454,1,1,1
2026,CIN,00-0033526,S.Perine,RB,2,rush_attempts,7,49,0.1429,2,20,0.1,5,29,0.1724,-0.0724,RB,2,18,1,0,0,0,0,0,18,0.0556,0.0455,0.0,0.0,0.0,11,72,6.55,0.1104,0,4,2
2026,DEN,00-0033881,E.Engram,TE,2,targets,6,56,0.1071,1,22,0.0455,5,34,0.1471,-0.1016,TE,1,18,1,0,0,0,1,0,17,0.0588,0.0476,0.0,0.0,0.0,5,60,12.0,0.1027,1,7,1
2026,DEN,00-0038783,N.Adkins,TE,1,targets,3,29,0.1034,1,11,0.0909,2,18,0.1111,-0.0202,TE,3,18,1,1,0,1,1,0,17,0.0588,0.0476,0.0769,0.0,0.0667,4,38,9.5,0.0969,1,9,2
2026,DEN,00-0036422,A.Trautman,TE,1,targets,3,27,0.1111,0,11,0.0,3,16,0.1875,-0.1875,TE,2,18,,,,,,,,,,,,,2,10,5.0,0.0521,0,11,3
2026,MIN,00-0033293,A.Jones,RB,2,rush_attempts,35,58,0.6034,12,21,0.5714,23,37,0.6216,-0.0502,RB,1,18,4,1,1,1,1,1,15,0.2667,0.2105,0.1111,0.1429,0.1667,35,145,4.14,0.2788,1,1,1
2026,MIN,00-0037525,J.Mason,RB,1,rush_attempts,15,31,0.4839,5,12,0.4167,10,19,0.5263,-0.1096,RB,4,18,4,2,1,1,1,1,15,0.2667,0.2105,0.2222,0.1429,0.1667,15,59,3.93,0.2287,1,3,2
2026,MIN,00-0036425,D.Dallas,RB,2,rush_attempts,2,58,0.0345,0,21,0.0,2,37,0.0541,-0.0541,RB,2,18,,,,,,,,,,,,,4,21,5.25,0.0404,0,8,3
2026,MIN,00-0041104,D.Claiborne,RB,1,rush_attempts,0,27,0.0,0,9,0.0,0,18,0.0,0.0,RB,3,18,,,,,,,,,,,,,1,2,2.0,0.0076,0,11,4
2026,NYG,00-0039337,M.Nabers,WR,2,targets,13,61,0.2131,5,25,0.2,8,36,0.2222,-0.0222,WR,1,18,2,0,0,0,0,0,17,0.1176,0.0952,0.0,0.0,0.0,7,70,10.0,0.1211,0,3,1
2026,NYG,00-0041042,M.Fields,WR,2,targets,10,61,0.1639,4,25,0.16,6,36,0.1667,-0.0067,WR,2,18,,,,,,,,,,,,,4,55,13.75,0.0952,0,4,2
2026,NYG,00-0036309,D.Mooney,WR,2,targets,5,61,0.082,2,25,0.08,3,36,0.0833,-0.0033,WR,3,18,,,,,,,,,,,,,4,75,18.75,0.1298,0,7,3
2026,PIT,00-0036894,P.Freiermuth,TE,2,targets,10,74,0.1351,4,27,0.1481,6,47,0.1277,0.0205,TE,1,18,2,1,0,0,1,0,6,0.3333,0.2,0.1667,0.0,0.0,10,80,8.0,0.1436,1,5,1
2026,PIT,00-0038558,D.Washington,TE,2,targets,4,74,0.0541,1,27,0.037,3,47,0.0638,-0.0268,TE,2,18,,,,,,,,,,,,,3,25,8.33,0.0449,0,7,2
