season,week,game_id,team,opponent,half,points_allowed,ingest_run_id
2026,1,2026_01_GB_MIN,MIN,GB,2,3,20260925T072249Z
2026,1,2026_01_MIA_LV,MIA,LV,1,17,20260925T072249Z
2026,1,2026_01_MIA_LV,LV,MIA,1,6,20260925T072249Z
2026,1,2026_01_NE_SEA,SEA,NE,2,3,20260925T072249Z
2026,1,2026_01_NE_SEA,NE,SEA,2,13,20260925T072249Z
2026,1,2026_01_NO_DET,NO,DET,2,24,20260925T072249Z
2026,1,2026_01_NO_DET,DET,NO,2,30,20260925T072249Z
2026,1,2026_01_NYJ_TEN,TEN,NYJ,1,10,20260925T072249Z
2026,1,2026_01_NYJ_TEN,NYJ,TEN,2,7,20260925T072249Z
2026,1,2026_01_SF_LA,LA,SF,1,10,20260925T072249Z
2026,1,2026_01_TB_CIN,TB,CIN,2,9,20260925T072249Z
2026,1,2026_01_TB_CIN,CIN,TB,2,17,20260925T072249Z
2026,1,2026_01_WAS_PHI,PHI,WAS,1,9,20260925T072249Z
2026,1,2026_01_WAS_PHI,WAS,PHI,2,10,20260925T072249Z
2026,2,2026_02_CAR_ATL,ATL,CAR,2,14,20260925T072249Z
2026,2,2026_02_CIN_HOU,HOU,CIN,1,7,20260925T072249Z
2026,2,2026_02_CIN_HOU,CIN,HOU,2,3,20260925T072249Z
2026,2,2026_02_CLE_TB,CLE,TB,2,10,20260925T072249Z
2026,2,2026_02_CLE_TB,TB,CLE,2,17,20260925T072249Z
2026,2,2026_02_DET_BUF,DET,BUF,1,27,20260925T072249Z
2026,2,2026_02_DET_BUF,BUF,DET,2,21,20260925T072249Z
2026,2,2026_02_GB_NYJ,NYJ,GB,1,7,20260925T072249Z
2026,2,2026_02_GB_NYJ,GB,NYJ,1,7,20260925T072249Z
2026,2,2026_02_IND_KC,KC,IND,1,20,20260925T072249Z
2026,2,2026_02_IND_KC,IND,KC,1,17,20260925T072249Z
2026,2,2026_02_JAX_DEN,JAX,DEN,1,3,20260925T072249Z
2026,2,2026_02_JAX_DEN,DEN,JAX,2,3,20260925T072249Z
2026,2,2026_02_JAX_DEN,JAX,DEN,2,17,20260925T072249Z
2026,2,2026_02_LV_LAC,LAC,LV,1,10,20260925T072249Z
2026,2,2026_02_LV_LAC,LV,LAC,2,7,20260925T072249Z
2026,2,2026_02_MIA_SF,MIA,SF,1,14,20260925T072249Z
2026,2,2026_02_MIA_SF,SF,MIA,1,6,20260925T072249Z
2026,2,2026_02_MIN_CHI,CHI,MIN,2,3,20260925T072249Z
2026,2,2026_02_NO_BAL,BAL,NO,1,6,20260925T072249Z
2026,2,2026_02_NO_BAL,NO,BAL,2,3,20260925T072249Z
2026,2,2026_02_NYG_LA,LA,NYG,1,3,20260925T072249Z
2026,2,2026_02_NYG_LA,NYG,LA,2,14,20260925T072249Z
2026,2,2026_02_PHI_TEN,PHI,TEN,1,10,20260925T072249Z
2026,2,2026_02_PHI_TEN,TEN,PHI,2,10,20260925T072249Z
2026,2,2026_02_PIT_NE,PIT,NE,1,10,20260925T072249Z
2026,2,2026_02_SEA_ARI,ARI,SEA,1,7,20260925T072249Z
2026,2,2026_02_WAS_DAL,WAS,DAL,1,17,20260925T072249Z
2026,2,2026_02_WAS_DAL,DAL,WAS,2,10,20260925T072249Z
2026,1,2026_01_ARI_LAC,LAC,ARI,1,13,20260925T072249Z
2026,1,2026_01_ARI_LAC,ARI,LAC,1,7,20260925T072249Z
2026,1,2026_01_ATL_PIT,ATL,PIT,1,13,20260925T072249Z
2026,1,2026_01_ATL_PIT,PIT,ATL,2,6,20260925T072249Z
2026,1,2026_01_BAL_IND,BAL,IND,1,13,20260925T072249Z
2026,1,2026_01_BAL_IND,IND,BAL,1,31,20260925T072249Z
2026,1,2026_01_BUF_HOU,HOU,BUF,1,24,20260925T072249Z
2026,1,2026_01_BUF_HOU,BUF,HOU,2,10,20260925T072249Z
2026,1,2026_01_CHI_CAR,CHI,CAR,2,13,20260925T072249Z
2026,1,2026_01_CHI_CAR,CAR,CHI,2,28,20260925T072249Z
2026,1,2026_01_CLE_JAX,CLE,JAX,2,10,20260925T072249Z
2026,1,2026_01_CLE_JAX,JAX,CLE,2,10,20260925T072249Z
2026,1,2026_01_DAL_NYG,DAL,NYG,1,14,20260925T072249Z
2026,1,2026_01_DAL_NYG,NYG,DAL,1,7,20260925T072249Z
2026,1,2026_01_DEN_KC,DEN,KC,1,14,20260925T072249Z
2026,1,2026_01_DEN_KC,KC,DEN,2,3,20260925T072249Z
2026,1,2026_01_GB_MIN,MIN,GB,1,19,20260925T072249Z
2026,1,2026_01_GB_MIN,GB,MIN,2,29,20260925T072249Z
