team,season,rank_on_team,player_name,position,spine_metric,depth_pos,depth_rank,depth_surplus,usage_index_score,usage_role,stress_score,redzone_score,share_score,depth_score,return_score,spine_opps,team_spine_opps,share_overall,share_calm,share_stress,confidence_delta,opp_i20,team_opp_i20,yards_per_touch,scrimmage_yards
ATL,2026,6,K.Pitts,TE,targets,TE,1,-1,31.9,INSUFFICIENT SAMPLE,48.9,0.0,22.9,33.3,56.2,4,50,0.08,0.0909,0.0588,-0.0321,,,15.0,15
ATL,2026,7,C.Blair,WR,targets,WR,5,1,31.8,INSUFFICIENT SAMPLE,49.7,0.0,27.7,66.7,11.6,3,31,0.0968,0.1,0.0909,-0.0091,,,6.0,6
ATL,2026,8,O.Zaccheaus,WR,targets,WR,3,0,27.4,INSUFFICIENT SAMPLE,48.9,0.0,22.9,50.0,1.8,4,50,0.08,0.0909,0.0588,-0.0321,,,4.0,8
ATL,2026,9,Z.Branch,WR,targets,WR,4,-1,27.0,INSUFFICIENT SAMPLE,50.0,0.0,18.4,33.3,19.4,2,31,0.0645,0.1,0.0,-0.1,,,7.0,14
ATL,2026,10,C.Woerner,TE,targets,TE,2,-1,22.8,INSUFFICIENT SAMPLE,50.0,0.0,9.2,33.3,0.0,1,31,0.0323,0.05,0.0,-0.05,,,,
BAL,2026,1,D.Henry,RB,rush_attempts,RB,1,0,65.4,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,37.7,100.0,100.0,50.0,37.9,40,52,0.7692,0.7941,0.7222,-0.0719,11,17,5.68,250
BAL,2026,2,J.Lane,WR,targets,WR,7,2,51.2,INSUFFICIENT SAMPLE,77.8,28.5,35.7,83.3,10.8,3,24,0.125,0.0,0.3333,0.3333,2,17,11.0,11
BAL,2026,3,M.Andrews,TE,targets,TE,1,0,44.9,PRIMARY -- TRUSTED UNDER PRESSURE,61.0,7.4,70.1,50.0,20.8,13,53,0.2453,0.2121,0.3,0.0879,1,17,9.8,98
BAL,2026,4,R.Bateman,WR,targets,WR,2,1,40.7,RISING -- OUT-EARNING DEPTH CHART,44.8,7.4,53.9,66.7,42.0,10,53,0.1887,0.2121,0.15,-0.0621,1,17,12.57,88
BAL,2026,5,C.Moore,WR,targets,WR,4,1,40.7,RISING -- OUT-EARNING DEPTH CHART,67.0,0.0,26.9,66.7,38.1,5,53,0.0943,0.0303,0.2,0.1697,,,29.5,59
