season,team,player_id,player_name,position,games,spine_metric,usage_index_score,stress_score,redzone_score,share_score,depth_score,return_score,share_calm,share_stress,confidence_delta,spine_opps_stress,team_spine_opps_stress,usage_role,spine_opps,team_spine_opps,share_overall,usage_rank_on_team,usage_rank_in_pos_group,depth_pos,depth_rank,depth_surplus,depth_as_of_week,opp_i20,opp_i10,opp_i5,opp_g2g,team_opp_i20,pct_i20_intra,pct_i20_shrunk,td_i20,td_i5,touches,yards_per_touch,scrimmage_yards,scrimmage_yards_share_intra,scrimmage_tds
2026,MIA,00-0039040,D.Achane,RB,2,rush_attempts,57.8,16.4,100.0,100.0,50.0,34.8,0.84,0.625,-0.215,10,16,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,31,41,0.7561,1,1,RB,1,0,18,7,3,1,4,14,0.5,0.3889,0,0,38,4.18,159,0.2681,0
2026,MIN,00-0033293,A.Jones,RB,2,rush_attempts,57.2,41.6,52.2,100.0,50.0,46.8,0.6216,0.5714,-0.0502,12,21,ROTATIONAL CONTRIBUTOR,35,58,0.6034,1,1,RB,1,0,18,4,1,1,1,15,0.2667,0.2105,1,1,35,4.14,145,0.2788,1
2026,NYJ,00-0037740,G.Wilson,WR,2,targets,56.7,81.9,26.0,67.8,33.3,46.5,0.1471,0.36,0.2129,9,25,PRIMARY -- TRUSTED UNDER PRESSURE,14,59,0.2373,4,2,WR,1,-1,18,1,1,1,1,14,0.0714,0.0556,1,1,11,12.36,136,0.1997,1
2026,TB,00-0039361,B.Irving,RB,2,rush_attempts,56.4,45.9,44.3,100.0,50.0,42.0,0.6667,0.6364,-0.0303,7,11,ROTATIONAL CONTRIBUTOR,25,38,0.6579,1,1,RB,1,0,18,5,1,0,1,20,0.25,0.2083,1,0,36,5.08,183,0.2933,1
2026,JAX,00-0038611,C.Rodriguez,RB,2,rush_attempts,56.4,74.9,48.0,61.2,50.0,17.7,0.1538,0.3529,0.1991,6,17,PRIMARY -- TRUSTED UNDER PRESSURE,12,56,0.2143,3,2,RB,2,0,18,2,2,1,2,9,0.2222,0.1538,0,0,12,3.0,36,0.055,0
2026,SEA,00-0039299,G.Holani,RB,2,rush_attempts,56.0,69.0,51.7,56.2,50.0,32.7,0.1389,0.28,0.1411,7,25,PRIMARY -- TRUSTED UNDER PRESSURE,12,61,0.1967,4,3,RB,3,0,18,6,2,2,2,27,0.2222,0.1935,0,0,13,3.38,44,0.0634,0
2026,NYJ,00-0039794,B.Allen,RB,2,rush_attempts,55.8,70.2,43.4,71.4,50.0,17.3,0.2,0.35,0.15,7,20,PRIMARY -- TRUSTED UNDER PRESSURE,15,60,0.25,2,2,RB,2,0,18,3,1,1,1,14,0.2143,0.1667,1,1,16,3.44,55,0.0808,1
2026,NYJ,00-0038120,B.Hall,RB,2,rush_attempts,55.3,18.8,78.1,100.0,50.0,47.7,0.7,0.5,-0.2,10,20,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,38,60,0.6333,1,1,RB,1,0,18,5,2,2,1,14,0.3571,0.2778,1,1,45,4.67,210,0.3084,1
2026,BUF,00-0037248,J.Cook,RB,2,rush_attempts,54.6,14.5,89.3,100.0,50.0,33.3,0.7586,0.5455,-0.2132,12,22,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,34,51,0.6667,1,1,RB,1,0,18,8,4,2,3,20,0.4,0.3333,1,1,38,5.47,208,0.2388,1
2026,CHI,00-0032464,K.Raymond,WR,2,targets,54.1,62.8,16.0,71.4,83.3,41.2,0.2069,0.2963,0.0894,8,27,RISING -- OUT-EARNING DEPTH CHART,14,56,0.25,3,1,WR,3,2,18,2,1,0,0,25,0.08,0.069,0,0,13,9.54,124,0.14,0
2026,LAC,00-0040666,O.Hampton,RB,2,rush_attempts,54.1,32.1,59.6,100.0,50.0,33.8,0.7813,0.6667,-0.1146,10,15,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,35,47,0.7447,1,1,RB,1,0,18,4,2,1,1,14,0.2857,0.2222,2,1,37,4.27,158,0.2594,2
2026,ARI,00-0037263,T.Allgeier,RB,2,rush_attempts,54.0,41.2,43.4,100.0,66.7,20.6,0.4706,0.4,-0.0706,6,15,RISING -- OUT-EARNING DEPTH CHART,22,49,0.449,2,1,RB,2,1,18,4,1,1,1,18,0.2222,0.1818,0,0,26,3.42,89,0.1595,0
2026,CIN,00-0034829,M.Gesicki,TE,1,targets,53.1,51.2,45.5,58.8,50.0,66.2,0.2,0.2143,0.0143,3,14,ROTATIONAL CONTRIBUTOR,7,34,0.2059,5,1,TE,1,0,18,2,2,2,1,18,0.1111,0.0909,1,1,5,15.6,78,0.2167,1
2026,NO,00-0040743,T.Shough,QB,2,rush_attempts_qb,53.0,68.2,55.7,52.5,50.0,9.0,0.1154,0.2609,0.1455,6,23,PRIMARY -- TRUSTED UNDER PRESSURE,9,49,0.1837,7,1,QB,1,0,18,5,2,2,2,22,0.2273,0.1923,1,1,13,2.38,31,0.0379,1
2026,DET,00-0039065,S.LaPorta,TE,2,targets,52.8,57.0,47.3,55.7,50.0,48.9,0.1739,0.2258,0.0519,7,31,ROTATIONAL CONTRIBUTOR,15,77,0.1948,3,1,TE,1,0,18,4,3,2,2,27,0.1481,0.129,1,1,11,9.09,100,0.1309,1
2026,JAX,00-0038606,P.Washington,WR,2,targets,52.8,51.4,0.0,100.0,50.0,78.0,0.3636,0.375,0.0114,6,16,ROTATIONAL CONTRIBUTOR,18,49,0.3673,2,1,WR,1,0,18,,,,,,,,,,12,15.08,181,0.2763,1
2026,MIN,00-0035229,T.Hockenson,TE,2,targets,52.5,75.1,16.5,59.8,50.0,45.1,0.1053,0.2917,0.1864,7,24,PRIMARY -- TRUSTED UNDER PRESSURE,9,43,0.2093,4,1,TE,1,0,18,2,0,0,0,15,0.1333,0.1053,1,0,7,9.29,65,0.125,1
2026,ATL,00-0038542,Bi.Robinson,RB,2,rush_attempts,52.4,55.8,0.0,100.0,50.0,62.1,0.62,0.6667,0.0467,6,9,ROTATIONAL CONTRIBUTOR,37,59,0.6271,1,1,RB,1,0,18,,,,,,,,,,48,5.29,254,0.4496,1
2026,GB,00-0039811,M.Lloyd,RB,2,rush_attempts,52.1,33.3,57.2,100.0,50.0,17.9,0.5333,0.3333,-0.2,3,9,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,19,39,0.4872,2,1,RB,1,0,18,5,3,0,3,18,0.2778,0.2273,1,0,21,3.0,63,0.0953,1
2026,CAR,00-0039491,J.Coker,WR,2,targets,52.0,37.3,45.7,77.9,66.7,47.0,0.3158,0.2143,-0.1015,6,28,RISING -- OUT-EARNING DEPTH CHART,18,66,0.2727,3,1,WR,2,1,18,5,4,1,4,30,0.1667,0.1471,1,0,16,12.75,204,0.2426,2
2026,NYG,00-0040691,J.Dart,QB,1,rush_attempts_qb,51.5,69.6,7.4,73.5,66.7,29.2,0.1765,0.3333,0.1569,6,18,RISING -- OUT-EARNING DEPTH CHART,9,35,0.2571,5,1,QB,2,1,18,1,0,0,0,17,0.0588,0.0476,0,0,11,4.91,54,0.1367,0
2026,MIA,00-0041523,C.Douglas,WR,2,targets,51.3,82.2,8.7,57.1,50.0,33.1,0.1176,0.375,0.2574,6,16,PRIMARY -- TRUSTED UNDER PRESSURE,10,50,0.2,3,2,WR,2,0,18,1,0,0,0,14,0.0714,0.0556,0,0,7,16.14,113,0.1906,0
2026,BAL,00-0040870,J.Lane,WR,1,targets,51.2,77.8,28.5,35.7,83.3,10.8,0.0,0.3333,0.3333,3,9,INSUFFICIENT SAMPLE,3,24,0.125,9,5,WR,7,2,18,2,1,1,2,17,0.1176,0.0952,0,0,1,11.0,11,0.0209,0
2026,SF,00-0031408,M.Evans,WR,2,targets,51.2,76.2,22.7,51.9,33.3,49.6,0.0968,0.2917,0.1949,7,24,PRIMARY -- TRUSTED UNDER PRESSURE,10,55,0.1818,4,2,WR,1,-1,18,2,1,1,1,22,0.0909,0.0769,1,1,9,11.44,103,0.1353,1
2026,CIN,00-0036410,T.Higgins,WR,2,targets,51.1,57.4,0.0,70.3,66.7,79.5,0.225,0.28,0.055,7,25,RISING -- OUT-EARNING DEPTH CHART,16,65,0.2462,2,1,WR,2,1,18,,,,,,,,,,8,19.25,154,0.2362,0
2026,PIT,00-0037228,J.Warren,RB,2,rush_attempts,50.6,25.6,46.9,100.0,50.0,46.6,0.5714,0.3571,-0.2143,5,14,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,21,42,0.5,1,1,RB,1,0,18,2,1,0,0,6,0.3333,0.2,0,0,28,5.36,150,0.2693,0
2026,NO,00-0037239,C.Olave,WR,2,targets,50.3,51.3,6.0,77.3,50.0,84.0,0.2667,0.275,0.0083,11,40,ROTATIONAL CONTRIBUTOR,23,85,0.2706,1,1,WR,1,0,18,1,0,0,0,22,0.0455,0.0385,0,0,18,14.89,268,0.3276,1
2026,NO,00-0038551,K.Miller,RB,1,rush_attempts,50.2,44.7,23.7,100.0,66.7,14.7,0.4167,0.3636,-0.053,4,11,RISING -- OUT-EARNING DEPTH CHART,9,23,0.3913,5,3,RB,4,1,18,2,2,0,2,22,0.0909,0.0769,1,0,9,3.33,30,0.0599,1
2026,JAX,00-0040719,B.Tuten,RB,2,rush_attempts,50.1,12.0,67.0,100.0,50.0,44.4,0.6154,0.2353,-0.3801,4,17,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,28,56,0.5,1,1,RB,1,0,18,3,2,2,2,9,0.3333,0.2308,1,1,31,4.84,150,0.229,1
2026,CAR,00-0039344,J.Brooks,RB,2,rush_attempts,50.0,59.3,22.6,64.3,83.3,16.9,0.1923,0.2857,0.0934,4,14,RISING -- OUT-EARNING DEPTH CHART,9,40,0.225,4,2,RB,4,2,18,4,1,0,1,30,0.1333,0.1176,0,0,11,6.64,73,0.0868,0
2026,CHI,00-0040236,K.Monangai,RB,2,rush_attempts,49.9,33.4,37.2,95.2,50.0,44.0,0.3846,0.2381,-0.1465,5,21,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,20,60,0.3333,2,2,RB,2,0,18,4,3,0,0,25,0.16,0.1379,0,0,24,7.58,182,0.2054,1
2026,HOU,00-0040583,W.Marks,RB,2,rush_attempts,49.9,46.7,24.7,100.0,50.0,21.6,0.3793,0.3529,-0.0264,6,17,ROTATIONAL CONTRIBUTOR,17,46,0.3696,3,2,RB,2,0,18,3,0,0,0,15,0.2,0.1579,0,0,23,3.26,75,0.0925,0
2026,TEN,00-0040676,C.Ward,QB,1,rush_attempts_qb,49.7,58.9,83.3,21.2,50.0,8.9,0.0,0.1429,0.1429,2,14,INSUFFICIENT SAMPLE,2,27,0.0741,8,1,QB,1,0,18,4,4,3,3,16,0.25,0.2,2,2,8,3.5,28,0.0546,2
2026,LA,00-0031381,D.Adams,WR,2,targets,49.6,40.1,7.8,80.2,66.7,85.4,0.3143,0.2273,-0.087,5,22,RISING -- OUT-EARNING DEPTH CHART,16,57,0.2807,3,1,WR,2,1,18,1,0,0,0,16,0.0625,0.05,1,0,11,20.09,221,0.2833,2
2026,SF,00-0035719,D.Samuel,WR,2,targets,49.5,51.7,34.3,57.1,66.7,41.0,0.1935,0.2083,0.0148,5,24,RISING -- OUT-EARNING DEPTH CHART,11,55,0.2,3,1,WR,2,1,18,3,2,1,2,22,0.1364,0.1154,1,0,11,8.64,95,0.1248,1
2026,PHI,00-0039746,W.Shipley,RB,2,rush_attempts,49.3,72.1,31.3,51.4,50.0,13.9,0.1176,0.3125,0.1949,5,16,PRIMARY -- TRUSTED UNDER PRESSURE,9,50,0.18,5,3,RB,3,0,18,4,0,0,0,16,0.25,0.2,0,0,12,3.42,41,0.0592,0
2026,PIT,00-0036139,R.Dowdle,RB,2,rush_attempts,49.1,50.0,15.6,100.0,50.0,22.3,0.3571,0.3571,0.0,5,14,ROTATIONAL CONTRIBUTOR,15,42,0.3571,3,2,RB,2,0,18,1,0,0,0,6,0.1667,0.1,0,0,19,3.42,65,0.1167,0
2026,DEN,00-0036158,J.Dobbins,RB,2,rush_attempts,48.9,14.7,67.4,100.0,50.0,25.4,0.6,0.1765,-0.4235,3,17,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,18,42,0.4286,1,1,RB,1,0,18,3,3,3,3,17,0.1765,0.1429,0,0,18,4.0,72,0.1233,0
2026,DAL,00-0037247,G.Pickens,WR,2,targets,48.9,66.2,14.0,65.6,50.0,35.0,0.1842,0.3043,0.1201,7,23,PRIMARY -- TRUSTED UNDER PRESSURE,14,61,0.2295,3,2,WR,2,0,18,1,1,0,0,19,0.0526,0.0435,0,0,9,7.56,68,0.1154,0
2026,DEN,00-0040730,R.Harvey,RB,1,rush_attempts,48.7,80.2,0.0,61.2,33.3,42.9,0.1538,1.0,0.8462,1,1,INSUFFICIENT SAMPLE,3,14,0.2143,9,3,RB,2,-1,18,,,,,,,,,,7,5.86,41,0.2135,0
2026,IND,00-0038997,J.Downs,WR,2,targets,48.6,60.4,14.2,62.9,50.0,52.6,0.1892,0.2727,0.0835,6,22,PRIMARY -- TRUSTED UNDER PRESSURE,13,59,0.2203,2,1,WR,1,0,18,2,0,0,0,18,0.1111,0.0909,0,0,9,12.11,109,0.1826,0
2026,LA,00-0037557,R.Rivers,RB,1,rush_attempts,48.4,77.1,15.6,51.0,50.0,21.0,0.0625,0.3333,0.2708,4,12,PRIMARY -- TRUSTED UNDER PRESSURE,5,28,0.1786,6,3,RB,3,0,18,2,0,0,0,16,0.125,0.1,0,0,6,4.0,24,0.0828,0
2026,TEN,00-0041438,C.Tate,WR,2,targets,48.2,72.4,0.0,69.8,50.0,29.9,0.1667,0.3333,0.1667,7,21,PRIMARY -- TRUSTED UNDER PRESSURE,11,45,0.2444,2,1,WR,1,0,18,,,,,,,,,,7,9.29,65,0.1267,0
2026,CLE,00-0040784,Q.Judkins,RB,2,rush_attempts,48.1,17.5,61.6,100.0,50.0,21.8,0.7083,0.4667,-0.2417,7,15,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,24,39,0.6154,1,1,RB,1,0,18,3,1,1,0,10,0.3,0.2143,0,0,31,3.16,98,0.1707,0
2026,LAC,00-0039915,L.McConkey,WR,2,targets,48.1,55.8,31.8,53.9,33.3,61.4,0.1667,0.2174,0.0507,5,23,ROTATIONAL CONTRIBUTOR,10,53,0.1887,3,2,WR,1,-1,18,2,2,0,1,14,0.1429,0.1111,1,0,8,14.63,117,0.1921,1
2026,TB,00-0041048,T.Hurst,WR,2,targets,48.1,62.6,13.0,47.6,83.3,37.2,0.1212,0.2222,0.101,6,27,RISING -- OUT-EARNING DEPTH CHART,10,60,0.1667,4,2,WR,4,2,18,2,0,0,0,20,0.1,0.0833,0,0,5,12.6,63,0.101,0
2026,NE,00-0040734,T.Henderson,RB,1,rush_attempts,48.0,51.6,0.0,100.0,50.0,37.5,0.6111,0.625,0.0139,5,8,ROTATIONAL CONTRIBUTOR,16,26,0.6154,2,2,RB,2,0,18,,,,,,,,,,16,4.75,76,0.2209,1
2026,NO,00-0039424,D.Vele,WR,2,targets,47.8,53.2,30.7,53.8,50.0,51.6,0.1778,0.2,0.0222,8,40,ROTATIONAL CONTRIBUTOR,16,85,0.1882,3,2,WR,2,0,18,2,2,1,2,22,0.0909,0.0769,1,1,12,11.08,133,0.1626,1
2026,CAR,00-0040124,T.McMillan,WR,2,targets,47.8,37.3,42.5,77.9,33.3,51.2,0.3158,0.2143,-0.1015,6,28,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,18,66,0.2727,2,2,WR,1,-1,18,4,3,2,2,30,0.1333,0.1176,0,0,10,17.6,176,0.2093,0
